ID,item,prompt,response,jrt,text,label
93953-study_3-4348,0,0,Gage the peoples interest by having them ask questionsto their brids and see if the brid has a reaction,2.616106,A creative experiment for testing bird's understanding of human speech is gage the peoples interest by having them ask questionsto their brids and see if the brid has a reaction,0.46657065
91142-study_3-2921,14,14,Stars may dissappear as the Earth moves in its rotation,3.6400046,A creative hypothesis for why stars disappear from the sky is stars may dissappear as the earth moves in its rotation,0.6491783
91316-study_3-4875,6,6,Get some animals and people to see which they make some humors,1.3598043,A creative experiment for testing if animals have a sense of humor is get some animals and people to see which they make some humors,0.24251492
91727-study_3-5348,4,4,"Ask students from each school at random how bullying has affected them, frequency and magnitude of bullying that they have experienced, and have them provide a detailed report.",4.0787787,"A creative experiment for testing friendliness at different schools is ask students from each school at random how bullying has affected them, frequency and magnitude of bullying that they have experienced, and have them provide a detailed report.",0.7274317
100-study_1-3791,1,1,what type of communication are they using,2.0961084,A creative research question for a remote island with nonverbal communication is what type of communication are they using,0.37383145
91175-study_3-5267,6,6,We could put a human and an animal in the same area and have the human do something humorous. We look to see the animals response and observe if its a bad or good response,2.0298264,A creative experiment for testing if animals have a sense of humor is we could put a human and an animal in the same area and have the human do something humorous. we look to see the animals response and observe if its a bad or good response,0.36201036
116-study_1-4437,4,4,present students from schools with a survey about what they would do in certain situations that will help define how friendly they are.,2.5893493,A creative experiment for testing friendliness at different schools is present students from schools with a survey about what they would do in certain situations that will help define how friendly they are.,0.46179873
93408-study_3-4092,8,8,The plants on one side of the lake are taking in more sunlight than on the other side,2.7173057,A creative hypothesis for why water is warmer in one lake than another is the plants on one side of the lake are taking in more sunlight than on the other side,0.48461917
34-study_2-6408,8,8,the amount of life in the lake has to do with how cold the water is ,3.1987917,A creative hypothesis for why water is warmer in one lake than another is the amount of life in the lake has to do with how cold the water is ,0.57049
167-study_2-8433,14,14,the planets are shifting,2.465996,A creative hypothesis for why stars disappear from the sky is the planets are shifting,0.43979922
128-study_1-4921,8,8,the depth of the lake is shallow where the water is warmer,2.369788,A creative hypothesis for why water is warmer in one lake than another is the depth of the lake is shallow where the water is warmer,0.42264095
93289-study_3-2919,14,14,stars dying out,2.3949544,A creative hypothesis for why stars disappear from the sky is stars dying out,0.42712927
93137-study_3-1687,7,7,How can forestry create a form of communicaiton,2.9328954,A creative research question for a jungle containing no human life is how can forestry create a form of communicaiton,0.5230686
