,text,response,label
0,A creative experiment for testing bird's understanding of human speech is gage the peoples interest by having them ask questionsto their brids and see if the brid has a reaction,Gage the peoples interest by having them ask questionsto their brids and see if the brid has a reaction,0.46657065
1,A creative hypothesis for why stars disappear from the sky is stars may dissappear as the earth moves in its rotation,Stars may dissappear as the Earth moves in its rotation,0.6491783
2,A creative experiment for testing if animals have a sense of humor is get some animals and people to see which they make some humors,Get some animals and people to see which they make some humors,0.24251492
3,"A creative experiment for testing friendliness at different schools is ask students from each school at random how bullying has affected them, frequency and magnitude of bullying that they have experienced, and have them provide a detailed report.","Ask students from each school at random how bullying has affected them, frequency and magnitude of bullying that they have experienced, and have them provide a detailed report.",0.7274317
4,A creative research question for a remote island with nonverbal communication is what type of communication are they using,what type of communication are they using,0.37383145
5,A creative experiment for testing if animals have a sense of humor is we could put a human and an animal in the same area and have the human do something humorous. we look to see the animals response and observe if its a bad or good response,We could put a human and an animal in the same area and have the human do something humorous. We look to see the animals response and observe if its a bad or good response,0.36201036
6,A creative experiment for testing friendliness at different schools is present students from schools with a survey about what they would do in certain situations that will help define how friendly they are.,present students from schools with a survey about what they would do in certain situations that will help define how friendly they are.,0.46179873
7,A creative hypothesis for why water is warmer in one lake than another is the plants on one side of the lake are taking in more sunlight than on the other side,The plants on one side of the lake are taking in more sunlight than on the other side,0.48461917
8,A creative hypothesis for why water is warmer in one lake than another is the amount of life in the lake has to do with how cold the water is ,the amount of life in the lake has to do with how cold the water is ,0.57049
9,A creative hypothesis for why stars disappear from the sky is the planets are shifting,the planets are shifting,0.43979922
10,A creative hypothesis for why water is warmer in one lake than another is the depth of the lake is shallow where the water is warmer,the depth of the lake is shallow where the water is warmer,0.42264095
11,A creative hypothesis for why stars disappear from the sky is stars dying out,stars dying out,0.42712927
12,A creative research question for a jungle containing no human life is how can forestry create a form of communicaiton,How can forestry create a form of communicaiton,0.5230686
13,A creative hypothesis for why dogs like one friend and cats like another is the friend that the dog likes more always has a treat in their pocket while the other friend always has cat treats,The friend that the dog likes more always has a treat in their pocket while the other friend always has cat treats,0.7365195
14,A creative experiment for testing bird's understanding of human speech is birds are smarter than humans,Birds are smarter than humans,0.20759211
15,A creative experiment for testing if animals have a sense of humor is gather people until you find someone that can observe the humor significantly. see if they can explain the different humor,Gather people until you find someone that can observe the humor significantly. See if they can explain the different humor,0.43236804
16,A creative research question for a new planet outside of our galaxy is how long can one survive on this planet before needed to leave?,How long can one survive on this planet before needed to leave?,0.6920118
17,A creative research question for an unexplored part of the ocean floor is is there a way that the species at the ocean floor can be examined,is there a way that the species at the ocean floor can be examined,0.5457977
18,A creative hypothesis for why students sing in hallways at a new school is students are given more freedom,students are given more freedom,0.69165725
19,A creative research question for a jungle containing no human life is which kind animals live there,which kind animals live there,0.33485132
20,A creative hypothesis for why students sing in hallways at a new school is the students at the new school are happier and less stressed than the old school,the students at the new school are happier and less stressed than the old school,0.57049
21,A creative hypothesis for why stars disappear from the sky is something in the sky like an airplane moved and covered the light the stars gave off,Something in the sky like an airplane moved and covered the light the stars gave off,0.55306005
22,A creative research question for a new planet outside of our galaxy is what is the planet composed of,what is the planet composed of,0.54651296
23,A creative hypothesis for why water is warmer in one lake than another is there is more movement in the lake that is warmer,there is more movement in the lake that is warmer,0.4978909
24,A creative hypothesis for why water is warmer in one lake than another is plant life under the surface of the water alters the temperature of the lake,Plant life under the surface of the water alters the temperature of the lake,0.40919104
25,A creative hypothesis for why students sing in hallways at a new school is the school might have a bigger and more popular theater program than last year,the school might have a bigger and more popular theater program than last year,0.4189781
26,"A creative hypothesis for why stars disappear from the sky is they are not stars, instead they are airplanes","they are not stars, instead they are airplanes",0.6395785
27,A creative hypothesis for why there are massive holds in a field is people are planting or getting ready for building,people are planting or getting ready for building,0.49746856
